Date,Close,Change,Momentum
2008.01.02 09:30:00,28.36,0.0,0
2008.01.02 10:00:00,28.28,0.0028208744710859768,0
2008.01.02 11:00:00,27.64,0.02263083451202265,0
2008.01.02 12:00:00,27.51,0.004703328509406621,0
2008.01.02 13:00:00,27.64,0.004725554343874918,1
2008.01.02 14:00:00,27.71,0.0025325615050651334,1
2008.01.02 15:00:00,27.68,0.0010826416456153423,0
2008.01.03 09:30:00,27.71,0.0010838150289017752,1
2008.01.03 10:00:00,27.77,0.0021652832912305566,1
2008.01.03 11:00:00,27.82,0.0018005041411595503,1
2008.01.03 12:00:00,27.9,0.0028756290438532815,1
2008.01.03 13:00:00,27.91,0.0003584229390681564,1
2008.01.03 14:00:00,27.84,0.0025080616266571223,0
2008.01.03 15:00:00,27.53,0.011135057471264321,0
2008.01.04 09:30:00,27.05,0.01743552488194698,0
2008.01.04 10:00:00,26.94,0.004066543438077613,0
2008.01.04 11:00:00,26.86,0.0029695619896066014,0
2008.01.04 12:00:00,26.86,0.0,0
2008.01.04 13:00:00,26.64,0.008190618019359601,0
2008.01.04 14:00:00,26.11,0.019894894894894936,0
2008.01.04 15:00:00,25.56,0.021064726158559966,0
2008.01.07 09:30:00,25.74,0.0070422535211267494,1
2008.01.07 10:00:00,24.32,0.0551670551670551,0
2008.01.07 11:00:00,24.7,0.015624999999999958,1
2008.01.07 12:00:00,25.19,0.019838056680162024,1
2008.01.07 13:00:00,25.19,0.0,0
2008.01.07 14:00:00,24.82,0.014688368400158832,0
2008.01.07 15:00:00,24.57,0.010072522159548751,0
2008.01.08 09:30:00,25.45,0.03581603581603578,1
2008.01.08 10:00:00,25.57,0.004715127701375285,1
2008.01.08 11:00:00,25.43,0.005475166210402838,0
2008.01.08 12:00:00,25.44,0.0003932363350374189,1
2008.01.08 13:00:00,25.54,0.003930817610062809,1
2008.01.08 14:00:00,25.43,0.004306969459671082,0
2008.01.08 15:00:00,24.4,0.040503342508847864,0
2008.01.09 09:30:00,24.39,0.00040983606557368896,0
2008.01.09 10:00:00,24.16,0.009430094300943027,0
2008.01.09 11:00:00,24.07,0.0037251655629139016,0
2008.01.09 12:00:00,24.23,0.0066472787702534335,1
2008.01.09 13:00:00,24.18,0.002063557573256323,0
2008.01.09 14:00:00,24.04,0.005789909015715491,0
2008.01.09 15:00:00,24.77,0.030366056572379386,1
2008.01.10 09:30:00,25.06,0.011707710940653983,1
2008.01.10 10:00:00,25.07,0.0003990422984837017,1
2008.01.10 11:00:00,25.1,0.001196649381731198,1
2008.01.10 12:00:00,25.2,0.003984063745019835,1
2008.01.10 13:00:00,25.19,0.0003968253968253179,0
